	kgs	m3				
CL3#93	287	1,722				
CL3#94	267	1,639				
CL3#95	123	1,236				
CL3#96	269	1,595				
CL3#97	147	1,182				
CL3#98	259	0,589				
CL3#99	222	0,904				
CL3#100	269	2,183				
CL3#101	264	1,936				
CL3#102	208	1,743				
CL3#103	274	1,11				
CL3#104	235	2,353				
CL3#105	275	1,756				
CL3#106	195	1,485				
CL3#107	103	0,971				
CL3#108	213	1,94				
CL3#109	58	2,247				
CL3#110	267	1,848				
CL3#111	291	1,651				
CL3#112	178	1,227				
CL3#113	204	2,259				
CL3#114	102	0,843				
CL3#115	229	2,146				
CL3#116	187	2,25				
CL3#117	201	0,96				
CL3#118	151	1,058				
CL3#119	111	1,993				
CL3#120	136	1,422				
CL3#121	175	2,304				
CL3#122	126	1,664				
CL3#123	53	0,755				
CL3#124	89	1,877				
CL3#125	237	1,035				
CL3#126	278	0,984				
CL3#127	206	0,388				
CL3#128	291	1,409				
CL3#129	89	2,15				
CL3#130	84	2,112				
CL3#131	289	1,92				
CL3#132	286	2,252				
CL3#133	124	0,868				
CL3#134	96	1,073				
CL3#135	200	1,948				
CL3#136	175	1,177				
CL3#137	253	0,96				
CL3#138	129	1,047				
CL3#139	155	2,313				
CL3#140	161	2,37				
CL3#141	193	0,926				
CL3#142	257	1,979				
CL3#143	120	0,428				
CL3#144	248	2,3				
CL3#145	233	2,154				
CL3#146	244	1,566				
CL3#147	179	1,783				
CL3#148	153	1,081				
CL3#149	163	1,927				
CL3#150	93	0,38				
CL3#151	188	0,929				
CL3#152	168	2,009				
CL3#153	280	1,431				
CL3#154	172	1,993				
CL3#155	58	1,644				
CL3#156	123	1,172				
CL3#157	123	1,129				
CL3#158	270	0,973				
CL3#159	102	1,432				
CL3#160	172	0,899				
CL3#161	148	2,302				
CL3#162	286	1,603				
CL3#163	116	1,853				
CL3#164	191	1,921				
CL3#165	134	2,042				
CL3#166	152	1,517				
CL3#167	165	0,378				
CL3#168	266	2,282				
CL3#169	189	1,802				
CL3#170	130	2,046				
CL3#171	156	1,601				
CL3#172	86	2,02				
CL3#173	105	1,194				
CL3#174	128	1,195				
CL3#175	263	2,199				
CL3#176	90	0,461				
CL3#177	146	1,159				
CL3#178	245	1,925				
CL3#179	138	2,364				
CL3#180	230	1,478				
CL3#181	168	0,875				
CL3#182	152	0,823				
CL3#183	130	1,925				
CL3#184	206	0,564				
CL3#185	288	1,441				
CL3#186	203	2,238				
CL3#187	166	0,948				
CL3#188	169	1,552				
CL3#189	290	1,755				
CL3#190	255	1,285				
CL3#191	140	2,162				
CL3#192	191	1,603				
CL3#193	129	0,985				
CL3#194	258	0,437				
CL3#195	83	1,158				
CL3#196	177	0,471				
CL3#197	68	1,767				
CL3#198	271	1,442				
CL3#199	100	0,61				
CL3#200	52	1,036				
CL3#201	131	2,334				
CL3#202	182	1,161				
CL3#203	241	1,071				
CL3#204	90	2,18				
CL3#205	105	0,83				
CL3#206	206	0,612				
CL3#207	179	1,533				
CL3#208	204	0,656				
CL3#209	161	1,611				
CL3#210	288	1,547				
CL3#211	211	2,003				
CL3#212	177	1,921				
CL3#213	189	1,021				
CL3#214	104	1,587				
CL3#215	245	1,779				
CL3#216	286	2,133				
CL3#217	68	1,881				
CL3#218	114	0,94				
CL3#219	71	0,769				
CL3#220	68	2,079				
CL3#221	135	2,181				
CL3#222	124	0,396				
CL3#223	286	1,498				
CL3#224	106	1,495				
CL3#225	206	0,947				
CL3#226	124	2,204				
CL3#227	180	1,295				
CL3#228	148	2,174				
CL3#229	206	2,367				
CL3#230	172	2,226				
CL3#231	160	1,733				
CL3#232	73	0,39				
CL3#233	105	0,831				
CL3#234	252	0,423				
CL3#235	177	1,397				
CL3#236	192	0,857				
CL3#237	94	2,187				
CL3#238	281	1,971				
CL3#239	167	1,951				
CL3#240	160	1,067				
CL3#241	272	1,315				
CL3#242	289	1,526				
CL3#243	124	2,186				
CL3#244	230	0,541				
CL3#245	245	1,494				
CL3#246	84	0,558				
CL3#247	145	0,57				
CL3#248	211	1,07				
CL3#249	258	0,834				
CL3#250	144	1,311				
CL3#251	57	1,868				
CL3#252	103	0,583				
CL3#253	137	2,068				
CL3#254	177	2,098				
CL3#255	66	1,135				
CL3#256	54	1,393				
CL3#257	293	1,318				
CL3#258	242	0,418				
CL3#259	125	1,453				
CL3#260	60	0,564				
CL3#261	149	1,685				
CL3#262	106	2,09				
CL3#263	139	1,606				
CL3#264	201	1,612				
CL3#265	87	1,296				
CL3#266	195	0,608				
CL3#267	259	0,518				
CL3#268	276	0,511				
CL3#269	143	1,194				
CL3#270	224	1,535				
CL3#271	52	1,282				
CL3#272	263	0,874				
CL3#273	274	1,275				
CL3#274	86	1,809				
CL3#275	214	2,2				
CL3#276	279	2,063				
CL3#277	141	1,777				
CL3#278	98	2,014				
CL3#279	147	1,144				
CL3#280	191	1,17				
CL3#281	223	0,548				
CL3#282	253	1,638				
CL3#283	272	1,083				
CL3#284	196	0,565				
CL3#285	213	1,465				
CL3#286	285	2,179				
CL3#287	153	2,111				
CL3#288	149	1,272				
CL3#289	206	2,162				
CL3#290	163	1,634				
CL3#291	181	1,163				
CL3#292	66	0,635				
CL3#293	274	1,926				
CL3#294	261	0,895				
CL3#295	229	2,214				
CL3#296	122	2,053				
CL3#297	158	1,645				
CL3#298	277	1,327				
CL3#299	52	0,585				
CL3#300	107	1,043				
CL3#301	148	1,344				
CL3#302	116	0,602				
CL3#303	271	1,831				
CL3#304	77	1,341				
CL3#305	236	0,703				
CL3#306	80	1,203				
CL3#307	286	1,532				
CL3#308	227	1,703				
CL3#309	78	1,991				
CL3#310	257	0,734				
CL3#311	193	2,28				
CL3#312	228	2,097				
CL3#313	104	2,218				
CL3#314	258	1,022				
CL3#315	249	0,609				
CL3#316	214	0,641				
CL3#317	256	1,78				
CL3#318	83	2,073				
CL3#319	234	0,861				
CL3#320	198	0,405				
CL3#321	104	0,834				
CL3#322	160	1,115				
CL3#323	269	0,529				
CL3#324	138	2,324				
CL3#325	146	0,866				
CL3#326	58	1,442				
CL3#327	151	0,577				
CL3#328	205	1,827				
CL3#329	181	1,734				
CL3#330	166	1,004				
CL3#331	101	1,948				
CL3#332	119	1,721				
CL3#333	221	1,512				
CL3#334	91	1,31				
CL3#335	72	0,843				
CL3#336	215	0,629				
CL3#337	79	2,226				
CL3#338	284	1,586				
CL3#339	107	1,906				
CL3#340	258	2,21				
CL3#341	290	1,902				
CL3#342	258	1,395				
CL3#343	74	0,388				
CL3#344	286	1,25				
CL3#345	185	0,539				
CL3#346	169	0,74				
CL3#347	54	1,141				
CL3#348	267	0,777				
CL3#349	120	1,596				
CL3#350	83	1,333				
CL3#351	180	1,617				
CL3#352	214	0,454				
CL3#353	203	1,259				
CL3#354	268	2,324				
CL3#355	91	1,523				
CL3#356	239	0,51				
CL3#357	257	2,066				
CL3#358	282	2,133				
CL3#359	161	1,929				
CL3#360	75	1,188				
CL3#361	288	1,692				
CL3#362	291	0,802				
CL3#363	129	1,3				
CL3#364	188	2,022				
CL3#365	123	2,369				
CL3#366	262	2,16				
CL3#367	248	1,018				
CL3#368	164	1,65				
CL3#369	176	1,269				
CL3#370	105	0,408				
CL3#371	91	1,281				
CL3#372	213	2,215				
CL3#373	112	1,504				
CL3#374	257	1,634				
CL3#375	200	1,836				
CL3#376	118	0,385				
CL3#377	99	1,11				
CL3#378	69	0,973				
CL3#379	154	0,887				
CL3#380	155	2,275				
CL3#381	251	0,428				
CL3#382	283	0,693				
CL3#383	240	0,565				
CL3#384	79	0,832				
CL3#385	158	1,959				
CL3#386	104	1,193				
CL3#387	286	0,725				
CL3#388	93	2,363				
CL3#389	106	0,55				
CL3#390	76	1,959				
CL3#391	202	1,057				
CL3#392	250	0,724				
CL3#393	86	0,678				
CL3#394	91	1,857				
CL3#395	127	2,196				
CL3#396	263	1,738				
CL3#397	91	1,842				
CL3#398	94	2,082				
CL3#399	113	1,954				
CL3#400	113	0,766				
CL3#401	216	0,692				
CL3#402	148	0,522				
CL3#403	226	0,627				
CL3#404	166	0,286				
CL3#405	51	0,354				
CL3#406	80	0,304				
CL3#407	138	0,728				
CL3#408	116	0,668				
CL3#409	256	0,166				
CL3#410	111	1,006				
CL3#411	197	0,38				
CL3#412	272	0,855				
CL3#413	271	0,297				
CL3#414	145	0,723				
CL3#415	90	0,493				
CL3#416	181	0,371				
CL3#417	122	0,812				
CL3#418	160	0,215				
CL3#419	58	0,455				
CL3#420	61	0,351				
CL3#421	138	0,209				
CL3#422	86	1,096				
CL3#423	247	0,484				
CL3#424	98	0,72				
CL3#425	226	0,166				
CL3#426	277	1,07				
CL3#427	100	0,935				
CL3#428	228	0,818				
CL3#429	91	0,148				
CL3#430	141	0,803				
CL3#431	96	0,882				
CL3#432	223	0,617				
CL3#433	199	1,054				
CL3#434	126	1,034				
CL3#435	102	0,175				
CL3#436	176	0,818				
CL3#437	92	0,625				
CL3#438	92	0,957				
CL3#439	240	0,154				
CL3#440	83	0,905				
CL3#441	172	0,895				
CL3#442	110	0,202				
CL3#443	98	0,892				
CL3#444	159	0,72				
CL3#445	103	0,764				
CL3#446	263	0,842				
CL3#447	276	0,93				
CL3#448	189	0,581				
CL3#449	269	0,326				
CL3#450	106	0,504				
CL3#451	136	1,029				
CL3#452	268	1,088				
CL3#453	252	0,497				
CL3#454	174	0,743				
CL3#455	150	0,76				
CL3#456	125	0,491				
CL3#457	202	0,387				
CL3#458	165	1,135				
CL3#459	96	0,839				
CL3#460	144	0,506				
CL3#461	126	0,279				
CL3#462	151	0,361				
CL3#463	150	0,881				
CL3#464	109	0,957				
CL3#465	211	0,944				
CL3#466	291	0,197				
CL3#467	263	0,393				
CL3#468	94	0,647				
CL3#469	182	0,849				
CL3#470	138	0,432				
CL3#471	81	0,647				
CL3#472	58	0,23				
CL3#473	139	0,608				
CL3#474	237	0,615				
CL3#475	180	0,709				
CL3#476	223	0,202				
CL3#477	85	0,439				
CL3#478	166	0,154				
CL3#479	201	0,768				
CL3#480	277	0,928				
CL3#481	249	0,572				
CL3#482	129	0,872				
CL3#483	143	0,784				
CL3#484	161	0,452				
CL3#485	114	0,516				
CL3#486	125	0,331				
CL3#487	245	0,564				
CL3#488	243	0,35				
CL3#489	293	0,884				
CL3#490	85	1,05				
CL3#491	52	0,687				
CL3#492	88	1,009				
CL3#493	101	0,662				
CL3#494	218	0,298				
CL3#495	73	0,732				
CL3#496	231	0,76				
CL3#497	135	0,603				
CL3#498	170	0,548				
CL3#499	135	1,105				
CL3#500	184	1,124				
CL3#501	124	0,984				
CL3#502	117	0,35				
CL3#503	209	0,522				
CL3#504	102	1,074				
CL3#505	97	1,098				
CL3#506	138	0,253				
CL3#507	276	0,385				
CL3#508	84	0,755				
CL3#509	272	0,944				
CL3#510	129	0,646				
CL3#511	117	0,16				
CL3#512	235	1,011				
CL3#513	237	1,131				
CL3#514	222	0,29				
CL3#515	211	0,14				
CL3#516	194	0,277				
CL3#517	264	0,445				
CL3#518	278	0,758				
CL3#519	58	1,059				
CL3#520	127	0,181				
CL3#521	257	0,515				
CL3#522	219	0,33				
CL3#523	204	0,837				
CL3#524	186	0,843				
CL3#525	260	0,343				
CL3#526	82	0,718				
CL3#527	254	1,134				
CL3#528	271	0,729				
CL3#529	138	0,991				
CL3#530	187	1,104				
CL3#531	291	0,615				
CL3#532	268	1,042				
CL3#533	56	1,121				
CL3#534	115	0,278				
CL3#535	269	1,027				
CL3#536	193	0,907				
CL3#537	88	0,843				
CL3#538	84	0,597				
CL3#539	261	0,505				
CL3#540	65	1,136				
CL3#541	57	0,985				
CL3#542	207	1,101				
CL3#543	256	0,503				
CL3#544	125	0,393				
CL3#545	51	0,448				
CL3#546	115	1,119				
CL3#547	112	0,718				
CL3#548	198	0,658				
CL3#549	107	0,932				
CL3#550	96	0,719				
CL3#551	227	0,176				
CL3#552	283	0,57				
CL3#553	148	0,627				
CL3#554	211	0,533				
CL3#555	189	0,561				
CL3#556	204	0,628				
CL3#557	112	0,62				
CL3#558	141	0,884				
CL3#559	178	0,511				
CL3#560	270	0,508				
CL3#561	166	0,89				
CL3#562	104	0,221				
CL3#563	216	1,067				
CL3#564	194	1,077				
CL3#565	254	0,608				
CL3#566	104	0,312				
CL3#567	268	1,003				
CL3#568	234	0,275				
CL3#569	105	0,462				
CL3#570	52	0,525				
CL3#571	51	0,773				
CL3#572	172	0,14				
CL3#573	84	0,94				
CL3#574	84	0,392				
CL3#575	115	0,288				
CL3#576	256	0,433				
CL3#577	104	0,551				
CL3#578	252	0,879				
CL3#579	57	0,276				
CL3#580	172	1,043				
CL3#581	105	1,091				
CL3#582	110	0,387				
CL3#583	232	0,896				
CL3#584	285	0,874				
CL3#585	55	0,377				
CL3#586	113	0,516				
CL3#587	267	0,546				
CL3#588	190	0,847				
CL3#589	264	0,764				
CL3#590	108	0,604				
CL3#591	56	0,852				
CL3#592	171	0,719				
CL3#593	266	1,112				
CL3#594	95	0,927				
CL3#595	158	0,162				
CL3#596	191	0,887				
CL3#597	229	0,629				
CL3#598	177	0,867				
CL3#599	74	0,822				
CL3#600	279	0,603				
CL3#601	217	0,226				
CL3#602	270	0,765				
CL3#603	122	0,772				
CL3#604	176	0,177				
CL3#605	265	0,932				
CL3#606	279	1,016				
CL3#607	282	0,614				
CL3#608	244	0,416				
CL3#609	136	0,488				
CL3#610	187	0,418				
CL3#611	290	0,687				
CL3#612	62	0,308				
CL3#613	223	0,888				
CL3#614	186	0,396				
CL3#615	94	1,052				
CL3#616	101	0,358				
CL3#617	168	0,621				
CL3#618	133	0,553				
CL3#619	59	0,477				
CL3#620	103	0,378				
CL3#621	87	0,726				
CL3#622	106	1,136				
CL3#623	275	0,742				
CL3#624	149	0,511				
CL3#625	205	1,069				
CL3#626	192	0,15				
CL3#627	244	0,349				
CL3#628	135	0,951				
CL3#629	115	0,898				
CL3#630	85	0,967				
CL3#631	210	1,104				
CL3#632	195	0,546				
CL3#633	273	0,188				
CL3#634	168	0,743				
CL3#635	217	0,96				
CL3#636	207	0,419				
CL3#637	82	0,998				
CL3#638	62	1,135				
CL3#639	77	0,286				
CL3#640	260	0,304				
CL3#641	166	0,25				
CL3#642	125	1,001				
CL3#643	84	0,81				
CL3#644	191	0,537				
CL3#645	107	0,233				
CL3#646	156	1,122				
CL3#647	54	0,753				
CL3#648	135	0,823				
CL3#649	62	1,07				
CL3#650	200	0,566				
CL3#651	126	0,332				
CL3#652	199	0,159				
CL3#653	89	0,547				
CL3#654	227	0,519				
CL3#655	190	0,51				
CL3#656	180	0,455				
CL3#657	286	0,364				
CL3#658	246	0,786				
CL3#659	63	0,147				
CL3#660	261	0,702				
CL3#661	93	0,73				
CL3#662	150	0,65				
CL3#663	272	0,699				
CL3#664	279	0,645				
CL3#665	125	0,675				
CL3#666	269	0,845				
CL3#667	175	0,161				
CL3#668	281	0,826				
CL3#669	62	0,408				
CL3#670	124	0,197				
CL3#671	89	0,919				
CL3#672	274	0,158				
CL3#673	202	0,499				
CL3#674	225	0,303				
CL3#675	84	1,035				
CL3#676	250	0,587				
CL3#677	119	0,975				
CL3#678	76	0,638				
CL3#679	92	1,073				
CL3#680	167	0,915				
CL3#681	245	0,341				
CL3#682	75	0,138				
CL3#683	239	0,897				
CL3#684	181	0,546				
CL3#685	195	0,757				
CL3#686	113	1,126				
CL3#687	284	0,238				
CL3#688	183	0,258				
CL3#689	209	0,483				
CL3#690	166	0,965				
CL3#691	83	0,493				
CL3#692	288	0,193				
CL3#693	132	0,83				
CL3#694	159	0,493				
CL3#695	167	0,592				
CL3#696	277	0,39				
CL3#697	207	0,782				
CL3#698	105	0,525				
CL3#699	183	0,497				
CL3#700	189	0,472				
CL3#701	133	0,204				
CL3#702	259	0,978				
CL3#703	184	0,593				
CL3#704	91	0,897				
CL3#705	191	0,32				
CL3#706	276	0,239				
CL3#707	58	0,489				
CL3#708	128	1,043				
CL3#709	192	1,131				
CL3#710	244	0,149				
CL3#711	292	0,89				
CL3#712	176	1,025				
CL3#713	282	0,742				
CL3#714	139	0,262				
CL3#715	286	0,829				
CL3#716	177	1,067				
CL3#717	274	0,713				
CL3#718	62	0,317				
CL3#719	138	0,285				
CL3#720	202	1,075				
CL3#721	112	0,495				
CL3#722	162	1,08				
CL3#723	139	0,666				
CL3#724	112	0,188				
CL3#725	73	1,034				
CL3#726	187	0,412				
CL3#727	62	0,34				
CL3#728	163	0,18				
CL3#729	147	0,698				
CL3#730	291	1,074				
CL3#731	130	0,382				
CL3#732	56	1,04				
CL3#733	196	0,851				
CL3#734	191	1,003				
CL3#735	56	0,243				
CL3#736	270	0,561				
CL3#737	57	0,255				
CL3#738	265	0,665				
CL3#739	80	0,601				
CL3#740	267	0,422				
CL3#741	129	1,063				
CL3#742	276	0,787				
CL3#743	68	0,319				
CL3#744	174	0,307				
CL3#745	198	1,052				
CL3#746	283	0,261				
CL3#747	83	0,33				
CL3#748	90	0,544				
CL3#749	186	0,377				
CL3#750	177	0,524				
CL3#751	285	1,109				
CL3#752	222	0,199				
CL3#753	133	0,368				
CL3#754	242	0,466				
CL3#755	142	1,004				
CL3#756	68	0,249				
CL3#757	268	0,75				
CL3#758	92	0,795				
CL3#759	243	0,947				
CL3#760	219	0,907				
CL3#761	292	0,775				
CL3#762	93	0,29				
CL3#763	82	0,378				
CL3#764	126	0,435				
CL3#765	187	0,281				
CL3#766	209	0,982				
CL3#767	149	0,78				
CL3#768	102	0,674				
CL3#769	203	0,197				
CL3#770	115	0,668				
CL3#771	155	0,789				
CL3#772	151	0,866				
CL3#773	266	0,423				
CL3#774	244	0,596				
CL3#775	150	0,591				
CL3#776	157	0,86				
CL3#777	180	0,219				
CL3#778	258	0,28				
CL3#779	206	0,994				
CL3#780	97	0,764				
CL3#781	163	0,528				
CL3#782	277	1,102				
CL3#783	289	0,99				
CL3#784	106	0,521				
CL3#785	218	0,861				
CL3#786	216	0,655				
CL3#787	169	0,562				
CL3#788	204	0,35				
CL3#789	163	0,816				
CL3#790	117	0,327				
CL3#791	267	0,324				
CL3#792	287	1,037				
CL3#793	106	0,388				
CL3#794	109	0,396				
CL3#795	252	0,18				
CL3#796	257	0,143				
CL3#797	205	0,644				
CL3#798	238	0,978				
CL3#799	64	0,913				
CL3#800	216	0,309				
CL3#801	211	0,509				
CL3#802	276	0,265				
CL3#803	205	0,365				
CL3#804	209	0,445				
CL3#805	206	0,805				
CL3#806	270	0,943				
CL3#807	226	0,497				
CL3#808	62	0,713				
CL3#809	241	0,57				
CL3#810	205	1,024				
CL3#811	143	0,433				
CL3#812	195	0,245				
CL3#813	235	0,298				
CL3#814	235	0,359				
CL3#815	198	0,417				
CL3#816	231	0,713				
CL3#817	122	0,506				
CL3#818	293	0,289				
CL3#819	187	0,216				
CL3#820	88	0,301				
CL3#821	138	0,747				
CL3#822	152	1,129				
CL3#823	260	0,207				
CL3#824	79	0,335				
CL3#825	130	1,052				
CL3#826	257	0,517				
CL3#827	134	0,511				
CL3#828	189	0,249				
CL3#829	67	0,332				
CL3#830	88	0,301				
CL3#831	119	0,985				
CL3#832	105	1,131				
CL3#833	93	0,279				
CL3#834	127	0,591				
CL3#835	293	0,88				
CL3#836	184	0,9				
CL3#837	111	0,791				
CL3#838	115	0,485				
CL3#839	55	0,227				
CL3#840	278	0,26				
CL3#841	136	1,084				
CL3#842	85	0,582				
CL3#843	281	0,529				
CL3#844	230	1,1				
CL3#845	245	0,978				
CL3#846	129	0,281				
CL3#847	268	0,818				
CL3#848	276	0,376				
CL3#849	228	0,773				
CL3#850	262	0,948				
CL3#851	279	0,675				
CL3#852	249	0,253				
CL3#853	224	0,958				
CL3#854	98	0,911				
CL3#855	204	0,346				
CL3#856	93	1,088				
CL3#857	168	0,206				
CL3#858	284	0,53				
CL3#859	78	0,968				
CL3#860	73	0,311				
CL3#861	256	0,186				
CL3#862	163	0,995				
CL3#863	284	1,121				
CL3#864	58	0,717				
CL3#865	221	0,556				
CL3#866	178	0,587				
CL3#867	260	0,399				
CL3#868	123	0,596				
CL3#869	89	0,97				
CL3#870	138	0,229				
CL3#871	118	0,452				
CL3#872	291	0,145				
CL3#873	83	0,498				
CL3#874	60	1,013				
CL3#875	109	0,798				
CL3#876	218	0,632				
CL3#877	63	0,606				
CL3#878	136	0,796				
CL3#879	155	0,973				
CL3#880	292	0,635				
CL3#881	122	0,47				
CL3#882	55	0,709				
CL3#883	73	0,399				
CL3#884	181	0,307				
CL3#885	57	0,966				
CL3#886	165	0,596				
CL3#887	199	1,08				
CL3#888	246	0,477				
CL3#889	219	0,995				
CL3#890	290	0,742				
CL3#891	272	0,562				
CL3#892	246	0,792				
CL3#893	159	0,848				
CL3#894	268	0,887				
CL3#895	168	0,377				
CL3#896	222	0,915				
CL3#897	195	0,246				
CL3#898	109	0,147				
CL3#899	202	0,878				
CL3#900	73	1,037				
CL3#901	168	0,399				
CL3#902	176	0,656				
CL3#903	266	0,922				
CL3#904	109	0,992				
CL3#905	218	0,863				
CL3#906	138	0,514				
CL3#907	237	0,207				
CL3#908	150	0,809				
CL3#909	158	1,116				
CL3#910	227	0,625				
CL3#911	79	0,389				
CL3#912	115	0,6				
CL3#913	259	0,22				
CL3#914	163	0,862				
CL3#915	118	0,592				
CL3#916	183	0,401				
CL3#917	165	0,817				
CL3#918	263	0,735				
CL3#919	236	0,759				
CL3#920	171	0,239				
CL3#921	274	0,185				
CL3#922	231	1,011				
CL3#923	221	0,599				
CL3#924	137	0,349				
CL3#925	139	0,654				
CL3#926	198	0,618				
CL3#927	95	0,802				
CL3#928	140	0,367				
CL3#929	164	0,233				
CL3#930	85	0,84				
CL3#931	201	0,744				
CL3#932	205	1,066				
CL3#933	131	0,66				
CL3#934	288	0,693				
CL3#935	195	1,036				
CL3#936	242	0,317				
CL3#937	164	1,017				
CL3#938	281	0,672				
CL3#939	187	0,484				
CL3#940	235	0,573				
CL3#941	81	0,378				
CL3#942	193	0,794				
CL3#943	90	0,696				
CL3#944	70	0,937				
CL3#945	252	0,837				
CL3#946	86	0,236				
CL3#947	238	0,234				
CL3#948	188	0,312				
CL3#949	164	0,736				
CL3#950	232	0,8				
CL3#951	266	0,782				
CL3#952	271	0,322				
CL3#953	100	0,455				
CL3#954	250	0,362				
CL3#955	139	0,534				
CL3#956	230	0,926				
CL3#957	66	1,109				
CL3#958	218	0,539				
CL3#959	286	0,552				
CL3#960	254	0,715				
CL3#961	207	0,734				
CL3#962	208	0,796				
CL3#963	200	0,447				
CL3#964	144	0,456				
CL3#965	197	1,06				
CL3#966	146	0,545				
CL3#967	246	1,096				
CL3#968	208	0,262				
CL3#969	239	0,504				
CL3#970	173	0,567				
CL3#971	223	0,961				
CL3#972	212	0,491				
CL3#973	93	0,244				
CL3#974	215	0,243				
CL3#975	145	0,577				
CL3#976	61	0,518				
CL3#977	206	1,062				
CL3#978	191	0,841				
CL3#979	71	0,336				
CL3#980	191	1,099				
CL3#981	229	0,878				
CL3#982	211	0,143				
CL3#983	87	0,438				
CL3#984	119	0,251				
CL3#985	285	0,764				
CL3#986	54	1,134				
CL3#987	249	0,408				
CL3#988	238	0,699				
CL3#989	114	0,779				
CL3#990	140	1,099				
CL3#991	118	0,915				
CL3#992	190	0,795				
CL3#993	218	0,746				
CL3#994	74	0,145				
CL3#995	150	0,647				
CL3#996	272	0,407				
CL3#997	220	0,975				
CL3#998	113	0,972				
CL3#999	139	0,498				
CL3#1000	206	0,652				
CL3#1001	245	0,988				
CL3#1002	99	0,848				
CL3#1003	252	0,143				
CL3#1004	110	0,952				
CL3#1005	244	0,808				
CL3#1006	263	1,13				
CL3#1007	64	0,966				
CL3#1008	137	0,992				
CL3#1009	103	0,325				
CL3#1010	216	1,017				
CL3#1011	125	0,936				
CL3#1012	168	0,55				
CL3#1013	182	0,967				
CL3#1014	247	0,423				
CL3#1015	166	0,779				
CL3#1016	95	0,941				
CL3#1017	52	0,244				
CL3#1018	191	0,614				
CL3#1019	200	0,696				
CL3#1020	179	0,815				
CL3#1021	196	0,371				
CL3#1022	125	0,276				
CL3#1023	114	1,052				
CL3#1024	153	0,49				
CL3#1025	73	0,853				
CL3#1026	162	0,501				
CL3#1027	170	0,284				
CL3#1028	168	0,395				
CL3#1029	213	0,852				
CL3#1030	184	1,052				
CL3#1031	96	1,016				
CL3#1032	63	0,787				
CL3#1033	238	0,794				
CL3#1034	277	1,026				
CL3#1035	62	1,111				
CL3#1036	248	0,482				
CL3#1037	190	0,87				
CL3#1038	256	0,803				
CL3#1039	214	0,378				
CL3#1040	196	0,254				
CL3#1041	141	0,689				
CL3#1042	193	0,423				
CL3#1043	185	0,788				
CL3#1044	101	1,102				
CL3#1045	193	0,911				
CL3#1046	205	0,884				
CL3#1047	187	0,526				
CL3#1048	59	0,547				
CL3#1049	216	1,102				
CL3#1050	143	0,324				
CL3#1051	279	1,081				
CL3#1052	177	0,971				
CL3#1053	284	0,31				
CL3#1054	120	0,957				
CL3#1055	107	0,471				
CL3#1056	153	1,085				
CL3#1057	52	0,243				
CL3#1058	152	0,877				
CL3#1059	99	0,967				
CL3#1060	143	0,521				
CL3#1061	75	0,503				
CL3#1062	278	0,376				
CL3#1063	249	0,651				
CL3#1064	112	0,387				
CL3#1065	115	0,344				
CL3#1066	243	0,235				
CL3#1067	253	0,793				
CL3#1068	128	0,525				
CL3#1069	196	0,429				
CL3#1070	57	0,139				
